Id	Sire	Dam	Line
10974691	Sire_6	Dam_6	Chemchem
10974645	Sire_6	Dam_6	Chemchem
10974892	Sire_6	Dam_6	Chemchem
10975173	Sire_6	Dam_6	Chemchem
10975629	Sire_6	Dam_6	Chemchem
10975310	Sire_6	Dam_6	Chemchem
10974798	Sire_6	Dam_6	Chemchem
10975186	Sire_6	Dam_6	Chemchem
10975465	Sire_6	Dam_6	Chemchem
10974703	Sire_6	Dam_6	Chemchem
10974820	Sire_6	Dam_6	Chemchem
10974934	Sire_7	Dam_7	Chemchem
10975580	Sire_7	Dam_7	Chemchem
10974677	Sire_7	Dam_7	Chemchem
10974744	Sire_7	Dam_7	Chemchem
10975131	Sire_7	Dam_7	Chemchem
10975480	Sire_7	Dam_7	Chemchem
10975358	Sire_7	Dam_7	Chemchem
10975454	Sire_7	Dam_7	Chemchem
10975315	Sire_7	Dam_7	Chemchem
10975068	Sire_7	Dam_7	Chemchem
10975551	Sire_7	Dam_7	Chemchem
10974683	Sire_7	Dam_7	Chemchem
10975560	Sire_7	Dam_7	Chemchem
10975371	Sire_7	Dam_7	Chemchem
10974987	Sire_7	Dam_7	Chemchem
10975546	Sire_7	Dam_7	Chemchem
10975316	Sire_7	Dam_7	Chemchem
10974877	Sire_7	Dam_7	Chemchem
10975490	Sire_7	Dam_7	Chemchem
10975205	Sire_7	Dam_7	Chemchem
10974897	Sire_7	Dam_7	Chemchem
10975413	Sire_7	Dam_7	Chemchem
10975432	Sire_7	Dam_7	Chemchem
10975369	Sire_7	Dam_7	Chemchem
10975148	Sire_7	Dam_7	Chemchem
10974717	Sire_8	Dam_8	Chemchem
10974806	Sire_8	Dam_8	Chemchem
10974875	Sire_8	Dam_8	Chemchem
10974991	Sire_8	Dam_8	Chemchem
10974732	Sire_8	Dam_8	Chemchem
10975155	Sire_8	Dam_8	Chemchem
10975613	Sire_8	Dam_8	Chemchem
10974929	Sire_8	Dam_8	Chemchem
10975110	Sire_8	Dam_8	Chemchem
10975181	Sire_8	Dam_8	Chemchem
10974989	Sire_8	Dam_8	Chemchem
10975628	Sire_8	Dam_8	Chemchem
10975325	Sire_8	Dam_8	Chemchem
10975460	Sire_8	Dam_8	Chemchem
10975583	Sire_8	Dam_8	Chemchem
10975403	Sire_8	Dam_8	Chemchem
10977660	Sire_8	Dam_8	Chemchem
10977717	Sire_8	Dam_8	Chemchem
10979553	Sire_8	Dam_8	Chemchem
10975608	Sire_8	Dam_8	Chemchem
10975152	Sire_8	Dam_8	Chemchem
10975409	Sire_8	Dam_8	Chemchem
10974812	Sire_8	Dam_8	Chemchem
10974821	Sire_8	Dam_8	Chemchem
10975473	Sire_8	Dam_8	Chemchem
10975508	Sire_8	Dam_8	Chemchem
10974743	Sire_8	Dam_8	Chemchem
10975014	Sire_8	Dam_8	Chemchem
10974776	Sire_8	Dam_8	Chemchem
10975485	Sire_9	Dam_9	Mindu
10975074	Sire_9	Dam_9	Mindu
10974974	Sire_9	Dam_9	Mindu
10975019	Sire_9	Dam_9	Mindu
10974998	Sire_9	Dam_9	Mindu
10974956	Sire_9	Dam_9	Mindu
10975350	Sire_9	Dam_9	Mindu
10974670	Sire_9	Dam_9	Mindu
10975021	Sire_9	Dam_9	Mindu
10975330	Sire_9	Dam_9	Mindu
10975356	Sire_9	Dam_9	Mindu
10975027	Sire_9	Dam_9	Mindu
10975448	Sire_9	Dam_9	Mindu
10975130	Sire_9	Dam_9	Mindu
10975241	Sire_9	Dam_9	Mindu
10975419	Sire_9	Dam_9	Mindu
10975545	Sire_9	Dam_9	Mindu
10975498	Sire_9	Dam_9	Mindu
10975600	Sire_9	Dam_9	Mindu
10975140	Sire_9	Dam_9	Mindu
10975311	Sire_9	Dam_9	Mindu
10975621	Sire_9	Dam_9	Mindu
10974859	Sire_9	Dam_9	Mindu
10974898	Sire_9	Dam_9	Mindu
10975579	Sire_9	Dam_9	Mindu
10975262	Sire_9	Dam_9	Mindu
10975472	Sire_9	Dam_9	Mindu
10974918	Sire_10	Dam_10	Mindu
10975280	Sire_10	Dam_10	Mindu
10975482	Sire_10	Dam_10	Mindu
10974771	Sire_10	Dam_10	Mindu
10974950	Sire_10	Dam_10	Mindu
10975054	Sire_10	Dam_10	Mindu
10975048	Sire_10	Dam_10	Mindu
10974949	Sire_10	Dam_10	Mindu
10975418	Sire_10	Dam_10	Mindu
10975469	Sire_10	Dam_10	Mindu
10975491	Sire_10	Dam_10	Mindu
10974733	Sire_10	Dam_10	Mindu
