Id	Sire	Dam	Year_Class	Selected_gen
478665	0	0	2013	7
478620	0	0	2013	7
478601	02F49B	01FD38	2013	7
478656	02F49B	01FD38	2013	7
478671	02F49B	01FD38	2013	7
478651	02F49B	01FD38	2013	7
478660	0	0	2013	7
478667	02F49B	01FD38	2013	7
478649	02F49B	01FD38	2013	7
478661	02F49B	01FD38	2013	7
478610	02F49B	01FD38	2013	7
478642	02F49B	01FD38	2013	7
478612	02F49B	01FD38	2013	7
478644	02F49B	01FD38	2013	7
478637	02F49B	01FD38	2013	7
478666	02F49B	01FD38	2013	7
478630	02F49B	01FD38	2013	7
478623	02F49B	01FD38	2013	7
478639	02F49B	01FD38	2013	7
478629	02F49B	01FD38	2013	7
478569	02F49B	01FD38	2013	7
478654	02F49B	01FD38	2013	7
478657	02F49B	01FD38	2013	7
478575	02F49B	01FD38	2013	7
478588	02F49B	01FD38	2013	7
478589	02F49B	01FD38	2013	7
478578	02F49B	01FD38	2013	7
478617	02F49B	01FD38	2013	7
478596	02F49B	01FD38	2013	7
478611	02F49B	01FD38	2013	7
478648	02F49B	01FD38	2013	7
478604	02F49B	01FD38	2013	7
478655	02F49B	01FD38	2013	7
478607	02F49B	01FD38	2013	7
478668	02F49B	01FD38	2013	7
478590	02F49B	01FD38	2013	7
478606	02F49B	01FD38	2013	7
478599	02F49B	01FD38	2013	7
478632	02F49B	01FD38	2013	7
478593	02F49B	01FD38	2013	7
478592	02F49B	01FD38	2013	7
478581	02F49B	01FD38	2013	7
478573	02F49B	01FD38	2013	7
478572	02F49B	01FD38	2013	7
478641	02F49B	01FD38	2013	7
478574	02F49B	01FD38	2013	7
478609	02F49B	01FD38	2013	7
478638	02F49B	01FD38	2013	7
478627	02F49B	01FD38	2013	7
478594	02F49B	01FD38	2013	7
478653	02F49B	01FD38	2013	7
478591	02F49B	01FD38	2013	7
478647	02F49B	01FD38	2013	7
478615	02F49B	01FD38	2013	7
478595	02F49B	01FD38	2013	7
478628	02F49B	01FD38	2013	7
478664	02F49B	01FD38	2013	7
478580	02F49B	01FD38	2013	7
478621	02F49B	01FD38	2013	7
478652	02F49B	01FD38	2013	7
478603	02F49B	01FD38	2013	7
478635	02F49B	01FD38	2013	7
478634	02F49B	01FD38	2013	7
478670	02F49B	01FD38	2013	7
478619	02F49B	01FD38	2013	7
478744	020210	01F221	2013	7
478687	020210	01F221	2013	7
478729	020210	01F221	2013	7
478769	020210	01F221	2013	7
478706	020210	01F221	2013	7
478676	020210	01F221	2013	7
478760	020210	01F221	2013	7
478719	020210	01F221	2013	7
478711	020210	01F221	2013	7
478776	020210	01F221	2013	7
478732	020210	01F221	2013	7
478753	020210	01F221	2013	7
478708	020210	01F221	2013	7
478718	020210	01F221	2013	7
478727	020210	01F221	2013	7
478689	020210	01F221	2013	7
478688	020210	01F221	2013	7
478750	020210	01F221	2013	7
478701	020210	01F221	2013	7
478724	020210	01F221	2013	7
478728	020210	01F221	2013	7
478675	020210	01F221	2013	7
478713	020210	01F221	2013	7
478731	020210	01F221	2013	7
478682	020210	01F221	2013	7
478698	020210	01F221	2013	7
478710	020210	01F221	2013	7
478700	020210	01F221	2013	7
478699	020210	01F221	2013	7
478696	020210	01F221	2013	7
478695	020210	01F221	2013	7
478683	020210	01F221	2013	7
478747	020210	01F221	2013	7
478702	020210	01F221	2013	7
478754	020210	01F221	2013	7
478705	020210	01F221	2013	7
478735	020210	01F221	2013	7
478709	020210	01F221	2013	7
478726	020210	01F221	2013	7
478764	020210	01F221	2013	7
478717	020210	01F221	2013	7
478679	020210	01F221	2013	7
478690	020210	01F221	2013	7
478741	020210	01F221	2013	7
478674	020210	01F221	2013	7
478749	020210	01F221	2013	7
478740	020210	01F221	2013	7
478773	020210	01F221	2013	7
478730	020210	01F221	2013	7
478707	020210	01F221	2013	7
478697	020210	01F221	2013	7
478681	020210	01F221	2013	7
478684	020210	01F221	2013	7
478686	020210	01F221	2013	7
478722	020210	01F221	2013	7
478762	020210	01F221	2013	7
478677	020210	01F221	2013	7
478692	020210	01F221	2013	7
478680	020210	01F221	2013	7
