PIT	Length	Weight	Tank	Sex	Site
919452	430	1072	1	U	1
919481	440	1057	1	U	1
917864	495	1804	1	M	1
917464	485	1832	1	U	1
920249	495	1837	1	U	1
917207	365	810	1	U	1
917843	515	2154	1	M	1
919010	425	950	1	U	1
917731	530	2419	1	U	1
918164	475	1846	1	U	1
919625	450	1183	1	U	1
916917	455	1431	1	U	1
916318	455	1282	1	U	1
917312	350	931	1	U	1
918037	405	872	1	U	1
919876	400	929	1	U	1
918171	430	1195	1	U	1
919590	400	1294	1	U	1
916390	455	1400	1	U	1
917930	465	1774	1	U	1
918064	485	1763	1	M	1
917984	435	1253	1	U	1
916246	415	1213	1	U	1
917848	510	1851	1	M	1
917626	400	879	1	U	1
917133	500	2205	1	U	1
919263	485	1633	1	U	1
917820	435	956	1	U	1
917359	425	1259	1	U	1
918050	480	1673	1	M	1
916140	480	1665	1	U	1
919141	465	1645	1	U	1
918168	420	1106	1	U	1
916933	420	1065	1	U	1
917766	485	1778	1	U	1
917756	455	1585	1	M	1
919421	460	1520	1	U	1
915714	465	1620	1	U	1
916169	445	1398	1	M	1
916337	400	NA	1	U	1
916566	415	1229	1	U	1
917575	350	775	1	U	1
919922	430	1263	1	U	1
917775	435	1231	1	U	1
915919	405	1020	1	U	1
920560	445	1541	1	U	1
919336	455	1442	1	U	1
919206	465	1345	1	U	1
918540	475	1513	1	M	1
919709	385	922	1	U	1
916230	445	1407	1	M	1
919109	475	1729	1	M	1
916600	460	1484	1	U	1
920487	435	1305	1	U	1
918823	425	957	1	U	1
916020	500	1783	1	M	1
917087	450	1280	1	U	1
916915	460	1487	1	U	1
916826	450	1434	1	U	1
915699	435	1124	1	U	1
918627	430	983	1	M	1
918312	475	1554	1	U	1
918642	470	1628	1	U	1
918715	375	638	1	U	1
916510	455	1331	1	U	1
919676	465	1453	1	U	1
920392	390	916	1	U	1
918579	425	1002	1	U	1
917491	NA	882	1	U	1
917269	365	631	1	U	1
918027	430	1265	1	M	1
919515	450	1156	1	U	1
916992	470	1519	1	U	1
916045	445	1425	1	U	1
919783	480	2057	1	M	1
918655	505	2353	1	U	1
919203	485	1699	1	U	1
916862	470	1678	1	U	1
919660	425	1376	1	U	1
917739	395	698	1	U	1
920134	455	1520	1	U	1
918566	445	1482	1	U	1
918719	395	856	1	U	1
916299	430	1214	1	U	1
917092	NA	1401	1	U	1
918285	440	1412	1	U	1
915912	440	1407	1	U	1
916627	425	986	1	U	1
920132	415	854	1	U	1
920217	375	646	1	U	1
917829	485	1905	1	U	1
917160	525	2397	1	M	1
920122	425	1601	1	U	1
917478	460	1548	1	U	1
915620	480	1822	1	U	1
916935	385	775	1	U	1
918853	440	1309	1	U	1
917718	535	2178	1	U	1
916274	485	1858	1	M	1
919798	445	1394	1	M	1
916719	415	923	1	U	1
916844	425	1330	1	U	1
917247	415	910	1	U	1
918099	455	1606	1	U	1
920269	505	2101	1	U	1
917591	445	1393	1	U	1
919047	500	1838	1	U	1
918109	440	1254	1	U	1
916779	475	1767	1	U	1
916190	455	1542	1	U	1
915827	400	755	1	U	1
917685	470	1527	1	U	1
919243	505	2209	1	U	1
917790	455	1212	1	M	1
919535	470	1868	1	M	1
916285	470	1659	1	U	1
916897	460	1588	1	U	1
916103	445	1512	1	U	1
917566	475	1536	1	M	1
918303	420	1090	1	U	1
916736	365	660	1	U	1
918155	465	1337	1	M	1
916096	455	1627	1	U	1
919761	435	1112	1	U	1
920514	510	1805	1	U	1
917647	505	2110	1	M	1
918274	480	1745	1	U	1
919252	440	1584	1	U	1
919664	480	1735	1	M	1
920204	455	1321	1	U	1
919323	500	2041	1	M	1
915690	465	1869	1	M	1
917051	380	828	1	U	1
916711	430	1382	1	U	1
918081	440	1204	1	U	1
918121	460	1490	1	U	1
915595	475	1536	1	U	1
916999	445	1443	1	U	1
918427	375	1033	1	U	1
915884	370	813	1	U	1
920319	340	605	1	U	1
916178	465	1530	1	U	1
919093	435	1520	1	U	1
917089	465	1433	1	U	1
915903	435	1349	1	U	1
916970	390	807	1	U	1
917351	505	2054	1	M	1
917228	420	1393	1	U	1
919902	450	1447	1	M	1
915712	440	1221	1	U	1
918887	500	2187	1	U	1
917907	380	737	1	U	1
917343	485	1712	1	U	1
920397	470	1572	1	U	1
916162	465	1740	1	U	1
916436	475	1950	1	U	1
918049	395	845	1	U	1
919400	440	1118	1	U	1
916275	420	1458	1	U	1
918993	505	2329	1	U	1
9171292	475	1617	1	U	1
916144	465	1686	1	U	1
917507	435	1337	1	U	1
915750	415	1149	1	U	1
917311	415	1056	1	U	1
919939	430	1059	1	U	1
917857	425	933	1	U	1
919644	465	1611	1	M	1
919712	450	1433	1	U	1
916452	NA	1420	1	U	1
9202514	495	1955	1	M	1
917494	460	1600	1	U	1
918768	470	1604	1	U	1
916799	455	1523	1	U	1
919412	460	1933	1	M	1
917592	435	1135	1	U	1
915801	450	1582	1	U	1
919247	460	1558	1	U	1
917320	485	1892	1	U	1
917688	440	1284	1	U	1
916597	475	1804	1	U	1
918167	390	NA	1	U	1
916653	455	1550	1	U	1
918249	360	738	1	U	1
917735	455	1454	1	U	1
918452	460	1420	1	U	1
920104	490	2008	1	U	1
916046	450	1381	1	U	1
918154	415	1133	1	U	1
918017	465	1735	1	U	1
916705	465	1445	1	U	1
918984	500	2003	1	U	1
919269	465	1709	1	U	1
917634	455	1604	1	U	1
918406	415	953	1	U	1
918635	450	1394	1	U	1
920410	440	1281	1	U	1
915656	430	1135	1	U	1
916431	470	1675	1	U	1
916927	405	999	1	U	1
915718	435	1301	1	U	1
916330	465	1484	1	U	1
919510	420	1040	1	U	1
919118	470	1767	1	M	1
916489	455	1318	1	U	1
917958	435	1409	1	U	1
915733	410	927	1	U	1
916877	465	1697	1	U	1
916842	480	1779	1	M	1
916853	495	2162	1	M	1
915879	435	1526	1	U	1
918408	430	1346	1	U	1
916179	400	951	1	U	1
919597	435	1359	1	U	1
920383	425	1072	1	U	1
917321	500	1808	1	M	1
919287	465	1759	1	U	1
917738	430	977	1	U	1
920090	435	1391	1	U	1
919785	440	1345	1	M	1
920421	390	1095	1	U	1
918832	425	1154	1	U	1
919422	455	1629	1	U	1
916226	505	2383	1	U	1
917619	460	1400	1	U	1
916726	395	1145	1	U	1
916822	440	1488	1	U	1
917583	510	1996	1	U	1
919541	430	1420	1	U	1
919778	435	1402	1	M	1
918731	460	1441	1	U	1
917740	480	1691	1	U	1
918010	500	1978	1	U	1
919154	465	1502	1	U	1
920193	475	1809	1	M	1
917631	455	1359	1	U	1
920156	430	1067	1	M	1
919653	455	1354	1	U	1
916104	455	1499	1	U	1
920123	500	2761	1	M	1
916940	430	1302	1	U	1
916634	455	1523	1	U	1
916910	450	1401	1	U	1
915736	465	1432	1	U	1
918569	500	1899	1	U	1
916952	425	953	1	U	1
918437	455	1963	1	M	1
915850	435	1069	1	U	1
916420	400	877	1	U	1
919202	475	1803	1	U	1
919763	465	1478	1	U	1
916405	495	1759	1	U	1
917715	395	786	1	U	1
918780	475	NA	1	M	1
917950	445	NA	1	U	1
916312	420	1174	1	U	1
918964	430	1289	1	U	1
920195	465	1685	1	U	1
916413	370	730	1	U	1
916141	500	1896	1	M	1
917180	430	1364	1	U	1
916781	425	1103	1	U	1
919292	475	1570	1	M	1
918603	430	1141	1	U	1
918228	NA	NA	NA	NA	NA
919215	505	2250	1	U	1
918646	470	1651	1	U	1
918205	415	1132	1	U	1
916950	NA	1535	1	U	1
918002	415	1138	1	U	1
916628	490	1656	1	U	1
918904	485	1749	1	U	1
916569	450	1543	1	U	1
917779	NA	888	1	U	1
919753	440	1219	1	U	1
917277	NA	1927	1	U	1
920354	NA	1333	1	M	1
915844	435	1192	1	U	1
918359	460	1370	1	U	1
918089	450	1361	1	U	1
919149	480	1570	1	U	1
916766	435	1373	1	U	1
920545	420	1195	1	U	1
919190	335	799	1	U	1
920295	450	1340	1	U	1
919107	445	1197	1	U	1
918792	410	1097	1	U	1
915832	445	1371	1	U	1
916119	450	1206	1	U	1
917741	480	1670	1	U	1
917245	435	1291	1	U	1
915649	465	1307	1	M	1
918851	440	1378	1	U	1
919727	505	2228	1	U	1
916638	485	1720	1	U	1
919665	440	1287	1	M	1
917013	485	1618	1	U	1
919573	460	1597	1	U	1
918422	470	1880	1	U	1
917198	485	1643	1	M	1
919646	440	1355	1	U	1
915868	465	1683	1	M	1
919896	445	1215	1	U	1
915594	430	1077	1	U	1
915783	485	1518	1	U	1
920529	440	1131	1	U	1
917081	445	1634	1	U	1
919394	500	2943	1	U	1
917773	425	1026	1	U	1
917366	480	2162	1	U	1
919165	435	961	1	U	1
919114	460	1535	1	U	1
919299	480	1497	1	U	1
917545	450	1369	1	U	1
919036	450	1166	1	U	1
920274	410	908	1	U	1
917303	475	1638	1	M	1
917552	410	1248	1	U	1
920520	470	1569	1	U	1
920244	465	1457	1	U	1
918123	450	1382	1	U	1
918800	495	NA	1	U	1
918203	355	NA	1	U	1
916855	420	NA	1	U	1
919242	420	1195	1	U	1
917656	450	1474	1	U	1
917943	375	943	1	U	1
918811	405	826	1	U	1
916695	435	1337	1	U	1
915944	425	1280	1	U	1
917939	485	1682	1	M	1
916928	305	306	1	U	1
919633	410	1257	1	U	1
919777	435	1324	1	U	1
915688	460	1579	1	U	1
919407	445	1263	1	U	1
919424	465	1766	1	U	1
918419	420	1073	1	U	1
918513	445	1334	1	U	1
917288	475	1765	1	M	1
920492	425	1328	2	M	1
917016	375	716	2	U	1
916473	455	1498	2	U	1
919318	435	1316	2	U	1
915871	490	1806	2	U	1
917842	455	1331	2	M	1
918215	440	1408	2	M	1
919486	460	1522	2	U	1
918104	510	2347	2	M	1
918928	490	2040	2	M	1
920569	460	1717	2	U	1
919173	490	1731	2	M	1
917227	475	1711	2	M	1
917039	390	794	2	U	1
918234	430	1166	2	U	1
917970	465	1298	2	U	1
918371	475	1676	2	U	1
918909	430	993	2	U	1
918822	485	1892	2	U	1
919992	410	1132	2	U	1
919550	505	2501	2	U	1
916629	525	2654	2	M	1
918118	480	1576	2	U	1
919167	415	899	2	U	1
916518	470	1661	2	M	1
915920	450	1439	2	U	1
919952	405	1256	2	U	1
919305	480	1670	2	U	1
918057	450	1392	2	U	1
919033	490	2395	2	U	1
916925	475	1609	2	U	1
919879	445	1570	2	U	1
918924	505	2383	2	U	1
917029	460	1647	2	U	1
918538	440	1447	2	U	1
917770	450	1699	2	U	1
915840	415	1078	2	U	1
920230	455	1419	2	U	1
917921	445	1452	2	U	1
919805	455	1409	2	U	1
918515	450	1558	2	U	1
916294	505	2038	2	M	1
917660	410	1088	2	U	1
917931	395	902	2	U	1
917324	470	1661	2	U	1
919829	475	1760	2	U	1
919503	465	1540	2	M	1
920265	515	2421	2	M	1
915957	385	740	2	U	1
916564	415	1112	2	U	1
916969	460	1367	2	U	1
915691	425	1078	2	U	1
917500	445	1366	2	U	1
916720	415	1010	2	U	1
917093	450	1527	2	U	1
916351	440	1521	2	U	1
916635	480	1313	2	M	1
919121	500	1976	2	M	1
919536	485	1705	2	U	1
917205	475	1460	2	U	1
918277	440	1200	2	U	1
918170	475	1950	2	U	1
916699	490	1961	2	U	1
917175	415	1351	2	U	1
920315	445	1784	2	U	1
917471	490	1802	2	U	1
918903	480	1817	2	U	1
918331	440	1422	2	U	1
916110	440	1386	2	U	1
918220	405	954	2	U	1
